Name,Score,Rank,Popularity,Genres,Episodes,Start Date,End Date,Producers,Studios
Quanzhi Fashi V,7.40,1962,6044,"Action, Magic, Fantasy, School",12,"Jul 28, 2021","Oct 6, 2021","Tencent Penguin Pictures, China Literature Limited",Shanghai Foch Film and TV Culture Investment
Assault Lily: Fruits,6.26,7291,8456,"Comedy, Magic, Fantasy",Unknown,"Jul 20, 2021",?,"None found, add some",Shaft
Shiroi Suna no Aquatope Mini,7.50,1629,1545,Slice of Life,24,"Jul 9, 2021",?,"BS Fuji, Tokyo MX, Infinite, Forecast Communications, Kadokawa Media House, DMM pictures, Bandai Namco Arts, AQUA ARIS",P.A. Works
Yoshimaho,N/A,13940,9204,Slice of Life,Unknown,"Jul 1, 2021",?,"None found, add some",DLE
Yuan Shen Haojie,N/A,13960,9481,"Action, Sci-Fi",52,"Jul 5, 2021",?,"None found, add some","None found, add some"
"Ore, Tsushima (ONA)",6.40,6613,9547,Comedy,Unknown,"Jul 5, 2021",?,"Asmik Ace, Bit grooove promotion",AQUA ARIS
Xie Wang Zhui Qi 3: Shen Nu Guilai,N/A,13823,9855,"Action, Historical, Drama, Romance, Martial Arts, Fantasy",Unknown,"Aug 13, 2021",?,"None found, add some","None found, add some"
Bai Yao Pu 2nd Season,N/A,14332,10244,"Adventure, Mystery, Historical, Supernatural, Fantasy",12,"Jul 18, 2021",?,"None found, add some",Haoliners Animation League
Can Ci Pin: Fangzhu Xingkong,6.41,6555,10669,"Action, Sci-Fi",16,"Jul 30, 2021",?,bilibili,"None found, add some"
Dinghai Fusheng Lu,N/A,14773,11013,"Action, Historical, Fantasy",12,"Jul 15, 2021",?,"None found, add some",Shanghai Foch Film and TV Culture Investment
Yuan Long 2nd Season,6.81,4511,11127,"Action, Adventure, Fantasy",16,"Jul 3, 2021",?,"None found, add some",CG Year
Dahuoji Yu Gongzhu Qun,N/A,14708,11382,Romance,Unknown,"Aug 8, 2021",?,"None found, add some","None found, add some"
Heibai Wushuang 3rd Season,N/A,15294,11600,"Action, Comedy, Supernatural",Unknown,"Jul 19, 2021",?,bilibili,"None found, add some"
