Name,Score,Rank,Popularity,Genres,Episodes,Start Date,End Date,Producers,Studios
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,7.56,1423,470,"Action, Game, Sci-Fi, Adventure, Comedy, Fantasy",12,"Jan 8, 2020","Mar 25, 2020","AT-X, MAGES., Docomo Anime Store, Sammy, ABC Animation, Kadokawa Media House, Kadokawa, D-techno",SILVER LINK.
Itazura na Kiss,7.48,1672,693,"Comedy, Romance, Shoujo",25,"Apr 5, 2008","Sep 25, 2008","Bandai Visual, Trinity Sound",TMS Entertainment
Itsudatte Bokura no Koi wa 10 cm Datta.,7.49,1656,993,"Comedy, Drama, Romance, School",6,"Nov 25, 2017","Dec 30, 2017","Aniplex, Movic, Magic Capsule, Lawson, Music Ray'n, Kadokawa, INCS toenter, Yoshimoto Creative Agency",Lay-duce
Jaku-Chara Tomozaki-kun,7.19,2917,753,"Drama, Romance, School",12,"Jan 8, 2021","Mar 26, 2021","Pony Canyon, APDREAM, Bit grooove promotion, Dream Shift",Project No.9
Joker Game,7.05,3555,907,"Military, Historical, Drama",12,"Apr 5, 2016","Jun 21, 2016","Frontier Works, Kadokawa Shoten, Movic, AT-X, Sony Music Communications, Hakuhodo DY Music & Pictures, Sammy",Production I.G
Josee to Tora to Sakana-tachi,8.58,78,982,"Slice of Life, Drama, Romance",1,"Dec 25, 2020",?,"Shochiku, Kadokawa, Sonilude",Bones
Jujutsu Kaisen (TV),8.75,36,48,"Action, Demons, Supernatural, School, Shounen",24,"Oct 3, 2020","Mar 27, 2021","Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap",MAPPA
Just Because!,7.26,2579,704,"Slice of Life, Drama, Romance, School",12,"Oct 5, 2017","Dec 28, 2017","Sotsu, AT-X, BS Fuji, NBCUniversal Entertainment Japan, Tokyo MX, Moonbell, INCS toenter",Pine Jam
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41,155,76,"Comedy, Psychological, Romance, School, Seinen",12,"Jan 12, 2019","Mar 30, 2019","Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications",A-1 Pictures
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,8.41,155,76,"Comedy, Psychological, Romance, School, Seinen",12,"Jan 12, 2019","Mar 30, 2019","Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications",A-1 Pictures
Kaichou wa Maid-sama!,8.03,518,93,"Comedy, Romance, School, Shoujo",26,"Apr 2, 2010","Sep 24, 2010","Geneon Universal Entertainment, TBS, Hakusensha, Half H.P Studio",J.C.Staff
Kaifuku Jutsushi no Yarinaoshi,6.31,7057,420,"Adventure, Harem, Drama, Magic, Ecchi, Fantasy",12,"Jan 13, 2021","Mar 31, 2021","Lantis, AT-X, Glovision, Docomo Anime Store, Kadokawa Media House, Kadokawa, Bandai Namco Arts",TNK
Kakegurui,7.31,2351,85,"Game, Mystery, Psychological, Drama, School, Shounen",12,"Jul 1, 2017","Sep 23, 2017","Dentsu, Square Enix, Mainichi Broadcasting System, Movic, KlockWorx, DIVE II Entertainment, 81 Produce, Avex Pictures, FuRyu",MAPPA
